Name,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
Chamerion angustifolium,,,,,,,,,,,,,,,,,,,,,2,,,,
Dactylorhiza purpurella,,,,,,,,,,,,,,,1,,1,1,,,,,,,
Brachythecium rutabulum,,,,,,,,,1,,1,,,,,,,,,2,,2,5,,
Arenaria serpyllifolia,,,,,1,,,,,,,,,,,,,,,,,,,,
Crataegus monogyna (g),,,,,,,,,,,,,1,,,,,,,,,,,,
Veronica serpyllifolia,,1,,,,,,,,,,,,,,,,,,1,,,,,
Eurhynchium praelongum,,,,,,,,,3,,4,5,2,,4,,,2,4,,6,4,5,1,5
Anthoxanthum odoratum,,,,,,,,,,,,,,,,,,,,,,,,,1
Arrhenatherum elatius,,,,,,,,,,,,,,,,,,,,,1,4,1,4,
Heracleum sphondylium,,,,,,,,,,,,,,,,,,,,,,,,,2
Pilosella officinarum,,,,,,,,,,,,,,,,2,,,,,,,,,
Achillea millefolium,4,1,2,,1,2,,,,,,,,2,2,,2,,4,,,,,,
Agrostis stolonifera,,4,6,,3,4,,,,,,,,,,,,,,4,,2,,,
Alopecurus pratensis,,1,,,,,,,,,,,,,,,,,,2,,,,,
Anthyllis vulneraria,,,,,,,2,,,,,,,,,,,,,,,,,,
Cornus sanguinea (g),,,,,,,,,,,,,,,,3,,,,,,,,,
Dactylorhiza fuchsii,,,,,,,,,,,1,,3,1,,,,,1,,,,,,1
Leucanthemum vulgare,7,5,5,1,4,6,1,3,,,8,5,2,1,1,3,2,3,4,,,,,,
Tragopogon pratensis,,,,,,,,,2,1,3,,8,,,,,,,,,,,,
Agrostis capillaris,4,,5,3,,,,,,,,,,,,,,,,,,,,4,
Angelica sylvestris,,1,,,,,,,,,,,,,,,,,,,,,,,
Cynosurus cristatus,,,2,,,1,,,,,,,4,,7,,,,,8,5,7,7,4,6
Plantago lanceolata,,,,,,1,3,3,,2,2,,,1,,3,,,2,,4,2,,,
Trisetum flavescens,,,,,,,1,,3,,,,,,4,,5,,4,,,,,,
Cerastium fontanum,2,4,1,2,,,2,1,,,,,,,,,,,,,,2,,2,
Dactylis glomerata,1,1,,,,,,,,,,,,,,1,,1,1,,1,,,,
Epilobium montanum,,,,,,,,,,,,,,,,,,,,1,,,,,
Festuca ovina agg.,4,2,,,,,,,8,10,8,,7,,,,,2,,,,,,,
Festuca rubra agg.,8,6,7,8,5,7,6,9,6,6,6,,2,7,6,4,3,7,5,4,7,7,6,8,7
Koeleria macrantha,,,,,,,,,,,,,3,2,,,,,,,,,,,
Lathyrus pratensis,,,,,,,,2,,,,,,,,,,,4,,7,7,5,2,1
Leontodon hispidus,,,,,,,,,1,4,,4,3,3,5,4,2,2,5,,,,,,
Lotus corniculatus,1,,5,1,1,3,8,9,,,,,,6,6,3,8,8,7,5,,3,,3,4
Rumex obtusifolius,1,1,,,,,,,,,6,7,,,,,,,,,,,,,
Trifolium pratense,,,,,,,,,,,,,,,2,,5,2,4,,4,,,,
Alchemilla glabra,,,,,,,,,,,,,,2,2,,,1,2,,,,,,
Equisetum arvense,,,,,,,,,,,,,,,,,,,,1,4,,,1,2
Linum catharticum,,,,,,,2,4,,,,,,5,5,4,4,4,2,,,,,,
Medicago lupulina,4,1,2,3,4,3,,,3,,,,,,1,,,,4,,,,,,
Prunella vulgaris,,,1,,,2,1,,,,,,,2,,,,1,,,,,,,
Ranunculus repens,,2,1,1,,1,,,2,,1,1,,,,,,,,1,,,2,,
Salix cinerea (g),,,,,,,,,,,1,,1,,,,,,,,,,,,
Sonchus oleraceus,,,,,,,,,2,,,,,,,,,,,,,,,,
Tussilago farfara,,1,1,,4,1,,3,2,1,2,,2,,,2,4,,,,,,,,
Ranunculus acris,4,,,1,,,,,,,,,,,,,,,,,,,,,
Rhinanthus minor,,,,,,,,,2,1,,,,,,,,,,,,,,,
Salix caprea (g),,,,,,,1,,,,,,,,,,,,1,,,,,,
Senecio jacobaea,1,,,1,,,,,1,1,,,1,,,1,,,,,,,,,
Trifolium repens,7,6,6,8,2,1,4,8,8,,2,,4,,,,,,,6,,5,,7,
Bellis perennis,,,,,,,,,,,,,,,,,,2,4,,,,,,
Centaurea nigra,,,1,,1,2,1,,,,,,,,,,,1,,,,,,,
Cirsium arvense,,,1,,3,,,2,,1,,,,,,,,,,1,1,,,,2
Cirsium vulgare,1,2,,,,,,,1,,,,,,,,,,,,,,,,
Holcus lanatus,1,1,,4,2,,1,2,3,,,,2,,,,,,1,2,4,2,5,,2
Lolium perenne,,1,1,,,,,3,,,,,,,,,,,,3,,,,,
Ophrys apifera,,,,,,,,,1,,1,2,,,,,,1,,,,,,,
Plantago media,,,,,,1,,,,,,,,,,,,,,,,,,,
Taraxacum agg.,2,2,1,4,,1,2,,4,3,,4,4,,,2,,,,2,1,,3,1,
Brassica rapa,,,,,,,,,,,,,,,,,,,,,,,2,,
Daucus carota,4,1,1,1,,2,1,,,,,,,,,,,,,,,,,,
Listera ovata,,,,,,,,,,,,,,,,1,,,,,,,,,
Poa trivialis,,,,,,,,,,,,,,,,,,,,2,,1,,,
Carex flacca,,,,,,,,,,,,,,4,,4,,4,5,,3,2,,,
